TUCASEID,TUACTIVITY_N,WUFNACTWT,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20210402210265,8,8708453.400474,4,6,1,6,0,1,0,2,0,3,4,5
20210402210265,16,16328350.125889,4,6,2,6,0,1,0,2,0,3,0,5
20210402210274,2,3641109.696267,3,4,1,5,1,2,1,4,2,1,3,5
20210402210274,4,10923329.088800,3,5,2,4,1,2,0,4,1,1,3,5
20210402210274,7,10923329.088800,3,5,1,3,1,2,0,4,1,1,3,5
20210402210286,6,12053838.465886,2,3,2,3,0,5,2,3,3,1,6,4
20210402210286,7,144646061.590634,2,3,1,5,0,5,1,3,3,1,5,4
20210402210286,16,72323030.795317,2,5,1,4,0,5,1,3,1,1,4,4
20210402210294,3,1973706.160096,3,3,1,5,0,1,0,4,4,5,3,2
20210402210294,6,7894824.640385,3,5,1,6,0,1,0,4,2,5,4,2
20210402210294,9,1973706.160096,3,5,1,6,0,1,0,4,2,5,3,2
20210402210308,7,2197819.573064,1,5,1,6,0,5,1,3,4,2,0,4
20210402210308,9,2564122.835241,1,5,1,6,0,5,0,3,4,2,0,4
20210402210308,16,10989097.865319,1,6,2,5,0,5,1,3,2,2,4,4
20210402210523,4,2157127.842897,1,6,1,6,0,5,0,4,0,3,4,2
20210402210523,7,12942767.057382,1,6,1,0,0,5,0,4,0,3,4,2
20210402210523,11,8628511.371588,1,6,1,0,0,5,0,4,0,3,0,2
20210402210534,6,7836594.564853,1,5,2,6,0,2,0,5,0,3,0,4
20210402210534,7,2612198.188284,1,5,1,6,0,2,0,5,0,3,0,4
20210402210534,16,870732.729428,1,4,2,3,0,2,0,5,0,3,0,4
20210402210542,3,10856071.437044,4,3,2,2,0,3,3,5,3,2,3,1
20210402210542,7,10856071.437044,4,3,1,3,0,3,2,5,3,2,4,1
20210402210542,8,5428035.718522,4,3,2,3,0,3,2,5,2,2,2,1
20210402210549,2,1336394.664569,3,6,2,3,0,2,0,5,0,1,0,4
20210402210549,4,8018367.987417,3,6,2,5,0,2,0,5,0,1,0,4
20210402210549,5,16036735.974833,3,6,2,6,0,2,0,5,0,1,0,4
20210402210560,11,9787731.667004,2,6,2,6,5,3,0,5,0,1,1,4
20210402210560,16,1835199.687563,2,6,2,6,0,3,0,5,0,1,0,4
20210402210560,21,734079.875025,2,6,2,6,0,3,0,5,0,1,0,4
